,Indicator / Month, 04- 25, 05- 25, 06- 25, 07- 25, 08- 25, 09- 25, 10- 25, 11- 25, 12- 25, 01- 26, 02- 26, 03- 26, 04- 26, 05- 26, 06- 26, 07- 26, 08- 26, 09- 26, 10- 26, 11- 26, 12- 26, 01- 27, 02- 27, 03- 27, 04- 27, 05- 27, 06- 27, 07- 27, 08- 27, 09- 27, 10- 27, 11- 27, 12- 27, 01- 28, 02- 28, 03- 28, 04- 28, 05- 28, 06- 28, 07- 28, 08- 28, 09- 28, 10- 28, 11- 28, 12- 28, 01- 29, 02- 29, 03- 29, 04- 29, 05- 29, 06- 29, 07- 29, 08- 29, 09- 29, 10- 29, 11- 29, 12- 29, 01- 30, 02- 30, 03- 30, 04- 30
,Monthly Growth Rate,"3,44%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monthly Number of New Potential Customers (UA),  2,  7,  7,  11,  14,  14,  18,  17,  20,  21,  21,  22,  21,  22,  22,  23,  23,  24,  26,  26,  27,  28,  29,  31,  31,  33,  33,  35,  35,  37,  38,  39,  40,  42,  43,  44,  47,  47,  50,  51,  53,  55,  56,  59,  61,  62,  65,  67,  70,  72,  74,  77,  79,  82,  85,  88,  91,  94,  97,  101,  104
,Conversion to Buyers (C1),60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%
,Number of New Customers,2,5,5,7,9,9,11,11,12,13,13,14,13,14,14,14,14,15,16,16,16,17,18,19,19,20,20,21,21,23,24,24,24,26,26,27,29,29,30,31,33,34,34,36,37,38,40,41,42,44,45,47,48,50,52,53,55,57,59,61,63
,Cumulative Number of Customers,2,7,12,19,28,37,48,59,71,84,97,111,124,138,152,166,180,195,211,227,243,260,278,297,316,336,356,377,398,421,445,469,493,519,545,572,601,630,660,691,724,758,792,828,865,903,943,984,1026,1070,1115,1162,1210,1260,1312,1365,1420,1477,1536,1597,1660
,Equipment Sales (in Units),2,5,5,7,9,9,11,11,12,13,13,14,13,14,14,14,14,15,16,16,16,17,18,19,19,20,20,21,21,23,24,24,24,26,26,27,29,29,30,31,33,34,34,36,37,38,40,41,42,44,45,47,48,50,52,53,55,57,59,61,63
,1. Operational Cash Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash Inflows,3 400,8 340,11 580,16 420,21 645,26 870,36 995,43 920,52 345,63 170,69 195,82 420,87 260,93 600,101 540,103 880,111 405,113 745,120 985,125 025,129 450,138 675,143 515,151 940,156 365,162 290,169 815,177 440,187 465,196 275,209 500,213 925,223 535,237 660,240 070,245 680,259 675,256 485,265 680,273 275,277 670,288 465,287 645,303 340,311 420,309 800,324 980,333 445,337 110,349 475,357 040,365 890,372 340,383 875,394 325,399 560,415 195,425 615,436 035,448 955,459 760
,Core,3 400,6 800,8 500,10 200,11 900,13 600,17 000,20 400,22 100,23 800,25 500,27 200,28 900,28 900,28 900,28 900,28 900,28 900,30 600,32 300,34 000,35 700,37 400,39 100,40 800,40 800,40 800,42 500,44 200,45 900,47 600,49 300,51 000,54 400,56 100,57 800,59 500,61 200,62 900,64 600,66 300,68 000,69 700,73 100,76 500,78 200,79 900,83 300,86 700,88 400,90 100,93 500,96 900,98 600,102 000,105 400,108 800,112 200,115 600,120 700,124 100
,Analytics, 0, 0, 0,1 600,3 200,4 800,6 400,8 000,9 600,12 000,14 400,16 000,17 600,19 200,20 800,21 600,22 400,23 200,24 000,24 800,25 600,26 400,28 000,29 600,30 400,31 200,32 000,32 800,34 400,36 000,37 600,38 400,39 200,40 000,41 600,43 200,44 800,45 600,47 200,48 800,50 400,52 000,54 400,56 000,57 600,59 200,61 600,63 200,64 800,67 200,69 600,71 200,73 600,76 000,79 200,81 600,84 800,87 200,89 600,92 800,95 200
