Calculation of TAM (Total Addressable Market),"По данным исследований, глобальный рынок блокчейн-решений для цепочек поставок достигнет €21.29 млрд к 2029 году.",,,,,,
Objective: Determine the total market size available for the product.,,,,,,,
Глобальный рынок,TAM,billion eur,"  21,29",- Глобальный рынок: €21.29 млрд к 2029,,,
Европейский рынок,TAM,billion eur,"  7,45",- Европейский рынок: ≈35% от глобального,,,
Логистический сегмент,TAM,billion eur,"  2,98",- Логистический сегмент: ≈40%,,,
,,,,,,,
Integration Market: ,TAM,billion eur,"  1,19","по отраслевой статистике, около 40% стоимости внедрения блокчейн-решений приходится на интеграцию",,,
Support Market:,TAM,billion eur,"  0,80","Annual_Support_Rate = 27% (стандартный показатель для enterprise-решений, включая техподдержку и обновления)",,,
Analytics Market:,TAM,billion eur,"  0,51","Analytics_Adoption_Rate = 17% (процент компаний, готовых инвестировать в продвинутую аналитику по данным исследований рынка)",,,
Итого сервисы:,TAM,billion eur,"  2,50",,,,
,,,,,,,
Общий TAM:,TAM,billion eur,"  5,48",,,,
,,,,,,,
,,,,,,,
Calculation of SAM (Serviceable Available Market),,,,,,,
Фокус на Испании и ближайших странах,,,,,,,
Испания,SAM,M eur,  450,- Испания: €450 млн (данные из бизнес-плана),,,
Португалия,SAM,M eur,  180,- Португалия: ≈40% от испанского рынка,,,
Франция,SAM,M eur,  270,- Франция: ≈60% от испанского рынка,,,
,,,,,,,
Технологическая готовность:,SAM,M eur,  540,- 60% компаний готовы к внедрению (из бизнес-плана),,,
,,,,,,,
Calculation of SOM (Serviceable Obtainable Market),,,,,,,
Objective: Determine the market share GrainData plans to capture.,,,,,,,
,Year 1:,Year 2:,Year 3:,Year 4:,Year 5:,,Прогноз основан на:
,,,,,,,- Стартовой базе: 48 клиентов
Cumulative Number of Customers,49,74,110,165,248,,- Темпе роста клиентской базы: +50% ежегодно
Revenue, 529 860, 874 269,1 442 544,2 380 197,3 927 326,,- Увеличении среднего чека: +10% ежегодно
,,,,,,,
,,,,,,,
,,,,,,,
Total SOM for 5 years,SOM,eur,3 927 326,"The total revenue over 5 years is projected to be approximately 3,93 mln eur.",,,
SOM to SAM Ratio,SOM / SAM,%,"0,73%","plans to capture about 0,73% of the serviceable market over 5 years.",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"50,00%","50,00%","50,00%","50,00%",,,
,SupplyChain Blockchain Core Platform,SupplyChain Analytics Suite,SupplyChain Technical Support & Consulting,SupplyChain Enterprise Solutions,,,
Клиенты в 1й год,9,15,23,1,,,
Клиенты в 2й год,14,23,35,2,,,
Клиенты в 3й год,20,34,52,2,,,
Клиенты в 4й год,30,51,78,3,,,
Клиенты в 5й год,46,76,116,5,,,
Новые клиенты в месяц,,,,,,,
Месяц 1-3,2,3,5,0,,,
Месяц 4-6,3,5,8,0,,,
Месяц 7-12,4,7,10,1,,,
,,,,,,,
Revenue and Profit,"10,00%","10,00%","10,00%","10,00%",,,
Средний чек в 1й год,1 700, 800, 385,8 000,,,
Средний чек в 2й год,1 870, 880, 424,8 800,,,
Средний чек в 3й год,2 057, 968, 466,9 680,,,
Средний чек в 4й год,2 263,1 065, 512,10 648,,,
Средний чек в 5й год,2 489,1 171, 564,11 713,,,
